sample,nan_fraction,k,rmse,pcc
0,0.05,1,0.7676633379089015,0.9718679512841257
0,0.05,3,0.636887405874731,0.9805648701596835
0,0.05,5,0.5996838591460576,0.9827860207389207
0,0.05,7,0.5835818972193492,0.9837006296991461
0,0.1,1,0.7476440839260438,0.9768438848519077
0,0.1,3,0.602877384993715,0.9849058196789299
0,0.1,5,0.5804403769272065,0.9860164274462053
0,0.1,7,0.5703524001651512,0.9865094536174065
0,0.2,1,1.0208450854988262,0.9521756150189146
0,0.2,3,0.7518180943478178,0.9739054915278689
0,0.2,5,0.6833915397943838,0.9785061857406087
0,0.2,7,0.6512449744575101,0.9805223181504108
0,0.3,1,1.8316293759481266,0.8448639410165465
0,0.3,3,1.2489759172428954,0.9270190862268844
0,0.3,5,1.0503240019890454,0.9491563482573717
0,0.3,7,0.9722140370734971,0.9567355412856389
1,0.05,1,0.7897670368294996,0.9731421168044988
1,0.05,3,0.6225199834507668,0.9826109628525421
1,0.05,5,0.5800877336319126,0.9848744307576921
1,0.05,7,0.5689039756992469,0.9854468918776749
1,0.1,1,0.7864171130648392,0.9733457514186511
1,0.1,3,0.6652171739429632,0.9808176833108169
1,0.1,5,0.6388587015822355,0.9822775938425128
1,0.1,7,0.6260291133280488,0.9829753985714292
1,0.2,1,1.0245132634429215,0.9559398016664502
1,0.2,3,0.743912140957393,0.9765835015709825
1,0.2,5,0.6842060581624998,0.9801986023657429
1,0.2,7,0.6501464073483428,0.98215172371168
1,0.3,1,1.4434123279096882,0.912044820769627
1,0.3,3,0.9268713635318241,0.9631607441908343
1,0.3,5,0.808239895497092,0.9721351527395827
1,0.3,7,0.7660358418999297,0.9750556886394749
2,0.05,1,0.7750623962482777,0.9712574347039998
2,0.05,3,0.6111841708461968,0.9820210029034205
2,0.05,5,0.5876104661397579,0.983417034999314
2,0.05,7,0.5668437032967072,0.9845794663479882
2,0.1,1,0.7923562764029104,0.9725625853106632
2,0.1,3,0.6493519141277081,0.9813655450052248
2,0.1,5,0.6262948437923436,0.9826508366593306
2,0.1,7,0.609631341134934,0.9835484462875126
2,0.2,1,1.3359561010867052,0.9251644479807967
2,0.2,3,0.8065874126252889,0.9723340871487844
2,0.2,5,0.7362886239562529,0.9770733706750494
2,0.2,7,0.6960882259647115,0.9796049368448861
2,0.3,1,1.8130152313315302,0.8623002962421336
2,0.3,3,1.1961976930231881,0.9380098380045848
2,0.3,5,1.0064187698697873,0.9566869976848249
2,0.3,7,0.8953332347446444,0.966073617035864
3,0.05,1,0.7959920232328827,0.9741115476905354
3,0.05,3,0.6372065299228463,0.9832129151426625
3,0.05,5,0.6243008898146704,0.9838624732068116
3,0.05,7,0.6008644556770437,0.9850526537821116
3,0.1,1,0.7837895947839054,0.9732521489324941
3,0.1,3,0.6449482559498,0.9816442814026303
3,0.1,5,0.6150619203042123,0.9833198078681753
3,0.1,7,0.6083613709992995,0.9836980290961741
3,0.2,1,1.13921203892713,0.9445447462210534
3,0.2,3,0.793312152511778,0.9724061154643787
3,0.2,5,0.7037771869397366,0.9782810753678556
3,0.2,7,0.6688816515152235,0.9803856560813105
3,0.3,1,1.712115079532823,0.8650887471138516
3,0.3,3,1.0881712240005281,0.945134426810024
3,0.3,5,0.9116835594879544,0.9620004373877058
3,0.3,7,0.8172945134488733,0.9697053205065399
4,0.05,1,0.7394538585291563,0.9773817975765062
4,0.05,3,0.6044013367024236,0.9849379389074051
4,0.05,5,0.5726898954820724,0.9864656495013009
4,0.05,7,0.5576129953547853,0.9871679559099465
4,0.1,1,0.7728667075041821,0.9746403268668906
4,0.1,3,0.6404471884758544,0.9823690983929017
4,0.1,5,0.5979805068463148,0.9846326131023658
4,0.1,7,0.577462767448424,0.9856769743746171
4,0.2,1,0.970692195026283,0.9601369672680858
4,0.2,3,0.6930162462434251,0.9796316549765117
4,0.2,5,0.6413812332449117,0.982587734116314
4,0.2,7,0.62368141989991,0.9835433438465937
4,0.3,1,1.6254905527981738,0.8856591934254113
4,0.3,3,1.0134754771689929,0.9552181929067979
4,0.3,5,0.864872789733424,0.9677829886973105
4,0.3,7,0.8165982657204934,0.9714914819144613
5,0.05,1,0.7206084604898648,0.976759274274786
5,0.05,3,0.5766684125067167,0.9849523407232608
5,0.05,5,0.5518374559019006,0.9862000910957069
5,0.05,7,0.539529579430368,0.9867943494966012
5,0.1,1,0.8258308915331813,0.9706237264154898
5,0.1,3,0.6797584613937047,0.9800787269385548
5,0.1,5,0.6402299347010802,0.9823994846635306
5,0.1,7,0.6199524996349102,0.9835088475056384
5,0.2,1,1.0380523663887167,0.9524799750510702
5,0.2,3,0.738194796491386,0.9758773404010187
5,0.2,5,0.6671652219510633,0.9803599127811063
5,0.2,7,0.642951846042585,0.9817964133026376
5,0.3,1,1.5023093869371373,0.899257150486876
5,0.3,3,1.0260440993343534,0.9519306532543355
5,0.3,5,0.8728716530558103,0.9654830727059586
5,0.3,7,0.7921991513819308,0.9717970089236104
6,0.05,1,0.7839661314443952,0.9760735149233759
6,0.05,3,0.6283170605587863,0.9847284775053248
6,0.05,5,0.5880864187205027,0.9866835590457038
6,0.05,7,0.5794304417815253,0.9870916744414846
6,0.1,1,0.8246720952046535,0.9721328969297072
6,0.1,3,0.6896987841988924,0.9805022771324844
6,0.1,5,0.6593782983149323,0.9822030558188678
6,0.1,7,0.6414944040564482,0.9831926873809473
6,0.2,1,0.9242943432536066,0.9632396546694352
6,0.2,3,0.7152660764811714,0.9777798557482583
6,0.2,5,0.6548403772560891,0.9813642167633287
6,0.2,7,0.6256142380170105,0.9829919832487668
6,0.3,1,1.9360533305935526,0.8464542787970057
6,0.3,3,1.2529308573933897,0.9338066466181082
